"id","array_agg"
"0520fca6-9822-2a10-dc4b-d3512a6ea952","{NULL,NULL,NULL,NULL,NULL,NULL}"
"052ffe96-5d06-9a3d-6f85-154e3ea19a99","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"0532f500-2868-56ff-c456-1cec933c0646","{NULL,NULL}"
"05344eef-649f-1626-b61c-94df66e1865a","{NULL,NULL}"
"05353a6e-bba4-f51e-47b9-fa84ddf92649","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"053a2d82-1ccc-4093-1c88-a053bad18755","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"053f2160-1e14-a8e2-b65a-ce27dfdc53d4","{NULL,NULL,NULL,NULL,NULL,NULL}"
"053f4b68-c08e-d093-ff63-03d990008478","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"0540b27a-d1cc-ef73-0535-2359936057e9","{NULL}"
"05448f80-b6ae-df52-f254-5fe86fe38f74","{NULL,NULL,NULL}"
"0545f930-f5f9-4abf-136c-cf790e0bd1de","{NULL,NULL,NULL,NULL}"
"0548ab62-6afe-61e3-fe3d-6c7ddaf53298","{NULL,NULL}"
"0553fb22-77ab-7f1b-b564-a3e028ae8852","{NULL,NULL}"
"05551a27-e9ed-9f19-4057-fbfd1489023c","{NULL,NULL,NULL}"
"0557d987-e267-7503-c365-da0607623f39","{NULL,NULL,NULL,NULL,NULL,NULL}"
"0558a643-7219-0bcf-d86f-2635f1244460","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"055d230f-772b-813d-ce71-e854797c77f4","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"056ef9f8-6248-7945-7d76-bda255a36ea8","{NULL,NULL}"
"056fabc5-43b1-87d4-e644-017c4c87d2ce","{NULL,NULL,NULL}"
"057164c5-eb0d-05c1-afcf-028cf24a39e0","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"0572b237-a570-bf4b-0ed8-28c3df3fee06","{NULL,NULL}"
"058a6086-428a-b6f7-caa9-c8093c65bff0","{NULL,NULL,NULL,NULL,NULL,NULL}"
"058ac67f-bab2-a04a-152d-7a851e72184f","{NULL}"
"058e8700-cbb3-3f0f-ae97-52b16a171803","{NULL,NULL,NULL}"
"05935885-6d93-3bbf-d508-4cb6b1fef8d0","{NULL}"
"0594908d-a1ea-6d11-1cf1-ce5a78ded337","{NULL,NULL,NULL}"
"05a59f9f-d1a4-7e8a-77a5-6dd6d1a13865","{NULL,NULL,NULL,NULL,NULL,NULL}"
"05a67141-3d2d-93b7-cfc8-e9080729e83a","{NULL,NULL,NULL,NULL}"
"05ac9fc9-95ad-7ecf-ff48-3dae3c22801a","{NULL}"
"05b43514-7572-a252-a51f-3e3e472606c4","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"05bf604e-ee3d-1c6c-e38f-08389345f886","{NULL,NULL,NULL}"
"05c37af5-160c-8bf4-6ce4-bb3c00b323b6","{NULL}"
"05c4d6b5-8f9c-b753-7978-d9cb14fdf39c","{NULL,NULL,NULL,NULL,NULL,NULL}"
"05c744d5-5166-484b-8107-eb6bdac86bcb","{NULL,NULL,NULL,NULL,NULL,NULL}"
"05ca760b-f11e-05a2-d4ff-7afe6e8cc59b","{NULL}"
"05cce048-fa2f-fdfb-95eb-d4835108e63e","{NULL,NULL}"
"05ce934d-8db7-e4cc-3b79-6ab7fc56c169","{NULL,NULL,NULL}"
"05ea8eec-034e-c50d-dced-1b6f812eefca","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"05f104d2-c1dc-ed1c-b907-d877c7194d47","{NULL,NULL,NULL}"
"05fab8d0-eab5-4631-ed39-7b7a07084177","{NULL,NULL}"
"05fc7b0e-9af3-917e-3c0c-a5680c915143","{NULL,NULL,NULL,NULL}"
